MSSubClass,LotArea,OverallQual,OverallCond,Houseage,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
20,9819,5,5,54,31,450,432,882,900,900,5,0,1,280,0,0,122000
70,8730,6,7,106,0,0,698,698,698,1396,7,0,1,384,0,0,153575
60,15611,8,5,15,0,0,1079,1079,1079,1919,8,1,2,685,0,51,233230
190,5687,5,6,109,0,210,570,780,936,1716,9,0,0,0,0,184,135900
50,11409,5,4,72,0,292,476,768,1148,1716,8,1,1,281,0,0,131000
60,16659,7,7,44,34,795,0,795,1468,2263,9,1,2,539,0,250,235000
20,9600,6,5,68,238,1285,131,1416,1644,1644,7,2,2,418,110,0,167000
80,7937,6,6,37,0,819,184,1003,1003,1003,6,0,2,588,120,0,142500
50,13710,5,5,71,0,420,490,910,910,1558,6,0,1,282,289,0,152000
60,7399,7,5,24,1600,649,326,975,975,1950,7,1,2,576,0,10,239000
60,11700,6,6,53,365,384,143,702,1041,1743,7,1,2,539,224,0,175000
20,14000,6,8,71,0,0,1092,1092,1152,1152,6,1,1,300,0,36,158500
190,15750,5,5,68,56,841,324,1165,1336,1336,5,2,1,375,0,0,157000
60,16226,8,5,23,0,281,747,1028,1210,2452,9,1,2,683,208,50,267000
20,13704,7,5,20,150,0,1541,1541,1541,1541,6,1,3,843,468,81,205000
20,9800,5,7,49,0,894,0,894,894,894,5,0,2,552,256,0,149900
75,18386,7,9,141,0,0,1470,1470,1675,3493,10,1,3,870,302,0,295000
20,10386,8,5,17,246,1464,536,2000,2000,2000,8,0,3,888,168,0,305900
60,13474,7,5,31,246,700,0,700,1122,2243,8,1,3,746,127,44,225000
50,7920,6,7,101,0,0,319,319,1035,1406,6,0,0,0,0,144,89500
30,12342,4,5,81,0,262,599,861,861,861,4,0,2,539,158,0,82500
20,12378,9,5,18,0,1274,622,1896,1944,1944,8,3,3,708,208,175,360000
60,7685,6,5,28,112,518,179,697,697,1501,6,1,2,420,190,63,165600
20,8000,6,6,73,0,680,292,972,972,972,5,1,1,240,0,0,132000
190,7800,5,7,82,0,507,286,793,793,1118,5,1,2,410,0,0,119900
20,215245,7,5,56,0,1236,80,2136,2036,2036,8,2,2,513,0,0,375000
70,9600,7,7,96,0,16,712,728,832,1641,6,1,2,546,0,0,178000
60,7795,7,5,17,0,425,291,716,716,1432,6,1,2,432,100,51,188500
60,13005,7,7,41,278,692,153,845,1153,2353,10,1,2,484,288,195,260000
60,9000,8,5,15,0,0,1088,1088,1088,1959,8,1,3,1025,208,46,270000
60,9900,7,5,28,256,987,360,1347,1372,2646,9,1,3,656,340,60,260000
80,14115,7,5,41,225,1036,336,1372,1472,1472,6,2,2,588,233,48,187500
60,16259,9,5,15,370,0,1249,1249,1249,2596,9,0,3,840,240,154,342643
60,12099,8,5,17,388,970,166,1136,1136,2468,10,1,3,872,184,154,354000
60,10380,7,5,35,172,28,0,1502,1553,2730,8,1,2,576,201,96,301000
20,5820,3,8,66,0,256,906,1162,1163,1163,6,0,1,220,142,98,126175
80,11275,7,7,54,300,0,710,710,1898,2978,11,1,2,564,240,0,242000
45,5000,5,6,80,0,116,604,720,803,803,5,0,2,360,0,0,87000
120,10846,8,5,28,0,1619,100,1719,1719,1719,6,2,2,473,122,30,324000
20,11600,6,5,61,175,565,818,1383,1383,1383,7,0,1,292,0,45,145250
75,11888,6,6,105,0,0,844,844,1445,2134,10,0,2,441,0,60,214500
70,6402,5,5,101,0,0,596,596,596,1192,6,0,1,189,0,0,78000
90,10624,5,4,57,84,40,1424,1728,1728,1728,10,0,1,352,155,0,119000
20,8176,5,6,63,0,846,210,1056,1056,1056,6,0,1,308,0,0,139000
20,10655,8,5,18,296,1124,1603,3206,1629,1629,7,1,3,880,0,0,284000
120,8198,7,5,17,146,720,638,1358,1358,1358,6,1,2,484,192,30,207000
60,9042,6,5,23,0,828,115,943,943,1638,7,2,2,472,100,38,192000
190,164660,5,6,56,0,1249,103,1499,1619,1786,7,2,2,529,670,0,228950
20,14157,9,5,16,200,1249,673,1922,1922,1922,8,1,3,676,178,51,377426
20,9135,7,5,19,113,810,726,1536,1536,1536,7,0,2,532,192,74,214000
20,14145,7,7,37,0,213,995,1208,1621,1621,8,0,2,440,108,45,202500
20,12400,6,7,63,176,585,630,1215,1215,1215,6,0,1,297,0,0,155000
60,14191,8,5,19,0,0,967,967,993,1908,9,0,2,431,135,0,202900
20,8400,4,4,71,0,0,721,721,841,841,4,0,1,294,250,0,82000
90,8544,3,4,72,340,0,0,0,1040,1040,6,0,2,400,0,0,87500
120,8849,9,5,16,616,28,1656,1684,1684,1684,6,1,2,564,495,72,266000
160,2592,5,3,45,0,129,175,536,536,1112,4,0,1,336,182,0,85000
50,6435,6,5,82,0,0,972,972,972,1577,6,1,1,312,0,0,140200
20,12772,6,8,61,0,498,460,958,958,958,5,0,1,301,0,0,151500
20,17600,6,5,61,30,1270,208,1478,1478,1478,6,2,2,498,0,40,157500
160,2448,7,5,18,106,573,191,764,764,1626,6,0,2,474,0,27,154000
60,20431,9,5,16,870,1410,438,1848,1848,2728,10,2,3,706,0,0,437154
120,7820,9,5,14,362,0,1869,1869,1869,1869,6,1,2,617,210,54,318061
120,5271,7,5,35,0,1082,371,1453,1453,1453,6,1,2,445,0,80,190000
50,9084,5,6,80,0,236,0,616,616,1111,5,0,1,200,48,0,95000
30,8520,6,8,93,0,0,624,624,720,720,5,0,2,484,106,0,105900
50,8400,6,5,81,0,388,552,940,1192,1595,6,2,1,240,0,0,140000
20,11249,6,5,26,0,334,322,1200,1200,1200,6,0,2,521,0,26,177500
20,9248,6,6,29,106,560,598,1158,1167,1167,6,0,2,400,120,26,173000
120,4224,5,5,45,0,874,268,1142,1142,1142,6,1,2,528,536,90,134000
80,6930,5,4,63,120,300,468,1062,1352,1352,6,0,1,288,168,0,130000
60,12011,8,5,23,530,956,130,1086,1086,1924,7,1,2,592,208,75,280000
85,7540,6,6,43,0,773,115,888,912,912,5,1,2,470,0,0,156000
50,9144,5,5,81,0,399,484,883,988,1505,8,0,1,240,0,0,145000
85,7301,7,5,18,500,0,0,0,495,1922,7,1,2,672,0,0,198500
160,1680,6,8,49,510,162,321,483,483,987,5,0,1,264,250,0,118000
60,18800,6,5,45,120,712,84,796,790,1574,6,1,2,566,306,111,190000
70,10690,5,7,101,0,456,216,672,672,1344,6,0,1,468,0,128,147000
20,9500,6,5,58,247,609,785,1394,1394,1394,6,2,2,514,0,76,159000
80,9150,6,5,59,305,371,728,1099,1431,1431,6,1,1,296,64,110,165000
20,7800,5,6,67,200,540,728,1268,1268,1268,7,1,1,244,0,98,132000
20,9830,5,7,62,0,72,733,1063,1287,1287,7,1,2,576,364,17,162000
60,8121,6,5,21,0,0,953,953,953,1664,7,1,2,460,100,40,172400
50,17120,4,4,62,0,0,0,0,1120,1588,7,1,2,680,0,59,134432
120,7175,6,5,37,0,623,0,744,752,752,4,0,1,264,353,0,125000
20,10634,5,6,68,0,428,0,608,1319,1319,5,0,1,270,66,0,123000
60,8200,7,5,18,0,0,847,847,847,1928,8,1,2,434,100,48,219500
30,10020,1,1,99,0,350,333,683,904,904,4,0,0,0,0,0,61000
85,8846,5,5,25,0,298,572,870,914,914,5,0,2,576,0,0,148000
60,11143,8,5,17,0,0,1580,1580,1580,2466,8,1,2,610,159,214,340000
20,11394,9,2,11,350,1445,411,1856,1856,1856,8,1,3,834,113,0,394432
60,8123,6,5,21,16,0,982,982,1007,1800,7,1,2,463,100,63,179000
50,5000,5,6,97,0,218,808,1026,1026,1691,6,1,1,308,0,0,127000
20,7200,7,5,15,0,0,1293,1293,1301,1301,5,1,2,572,216,121,187750
60,9245,7,5,15,0,0,939,939,939,1797,8,0,2,639,144,53,213500
45,9000,6,3,93,0,0,784,784,784,784,5,0,2,360,0,0,76000
60,53107,6,5,29,0,985,595,1580,1079,1953,9,2,2,501,216,231,240000
120,3182,8,5,17,16,24,1232,1256,1269,1269,6,1,2,430,146,20,192000
50,8410,5,3,111,0,0,658,658,658,1184,8,0,0,0,0,151,81000
80,7200,6,6,45,255,631,410,1041,1125,1125,6,1,1,352,296,0,125000
20,9382,7,5,22,125,0,1468,1468,1479,1479,6,0,2,577,120,25,191000
60,12474,10,5,14,272,1280,402,1682,1742,2332,9,1,3,846,196,134,426000
50,8405,5,8,121,0,241,229,861,961,1367,7,0,1,384,0,130,119000
60,12209,6,5,20,0,690,114,804,804,1961,7,1,2,560,125,192,215000
20,8339,5,7,62,0,0,0,0,882,882,5,0,1,294,0,0,106500
30,7446,4,5,80,0,266,522,788,788,788,4,2,0,0,0,0,100000
50,10134,5,6,81,0,0,735,735,735,1034,5,0,1,240,0,39,109000
20,9571,5,6,65,0,739,405,1144,1144,1144,6,0,1,596,44,0,129000
20,7200,5,5,49,0,777,117,894,894,894,6,0,2,600,215,0,123000
60,7590,5,5,59,288,540,324,864,876,1812,8,1,1,264,0,168,169500
30,8967,5,2,101,0,0,961,961,1077,1077,6,0,1,338,0,0,67000
60,8125,7,5,15,100,812,280,1092,1112,1550,7,0,2,438,0,168,241000
120,14963,8,5,25,0,786,474,1260,1288,1288,4,2,2,500,120,30,245500
20,8767,7,5,16,0,24,1286,1310,1310,1310,6,1,2,400,0,0,164990
30,10200,5,8,81,0,0,672,672,672,672,4,0,1,240,168,0,108000
60,12090,8,5,23,650,0,1141,1141,1165,2263,10,1,2,420,144,123,258000
60,10364,6,5,26,0,0,806,806,806,1572,7,1,2,373,0,40,168000
20,9991,4,4,45,0,1116,165,1281,1620,1620,8,1,2,490,120,78,150000
50,10480,6,5,85,0,0,1064,1064,1166,1639,6,0,1,240,0,0,115000
70,15576,6,7,106,0,0,840,840,840,1680,8,0,1,308,0,0,177000
60,14154,7,5,15,350,0,1063,1063,1071,2172,9,1,3,947,192,62,280000
60,10800,8,5,14,100,789,245,1034,1050,2078,8,1,3,836,0,102,339750
20,9571,5,3,63,0,0,1276,1276,1276,1276,5,0,1,350,0,0,60000
190,34650,5,5,66,0,1056,0,1056,1056,1056,5,0,2,572,264,0,145000
20,4403,7,5,12,432,578,892,1470,1478,1478,7,1,2,484,0,144,222000
30,8960,5,6,94,0,0,1008,1008,1028,1028,5,1,2,360,0,0,115000
60,11228,7,5,28,0,50,499,1080,1080,2097,9,1,3,678,196,187,228000
20,8899,7,5,14,0,24,1316,1340,1340,1340,6,0,2,396,100,30,181134
60,7844,6,7,43,203,209,463,672,672,1400,6,1,2,440,0,0,149500
70,22420,6,6,103,0,1128,242,1370,1370,2624,10,1,3,864,0,0,239000
50,8160,5,6,81,0,312,444,756,756,1134,7,0,1,240,0,0,126000
20,8450,5,6,53,0,775,281,1056,1056,1056,6,1,1,304,0,85,142000
90,7060,7,5,24,200,1309,35,1344,1344,1344,8,0,4,784,0,0,206300
20,16635,6,7,44,126,1246,356,1602,1602,1602,8,1,2,529,240,0,215000
20,21750,5,5,67,0,0,988,988,988,988,4,0,2,520,0,0,113000
60,9200,8,5,23,473,986,484,1470,1470,2630,8,1,3,696,0,66,315000
20,9000,6,5,65,74,616,580,1196,1196,1196,6,1,1,297,0,44,139000
60,3378,7,8,75,0,0,651,651,707,1389,6,2,1,240,0,0,135000
80,12800,7,5,32,145,1518,0,1518,1644,1644,5,1,2,569,80,0,275000
20,8593,4,6,64,0,288,619,907,907,907,5,0,1,352,0,0,109008
20,6762,7,5,14,108,664,544,1208,1208,1208,6,0,2,628,105,54,195400
20,11457,6,5,33,0,1005,387,1392,1412,1412,6,1,2,576,0,0,175000
160,1680,6,5,50,232,387,96,483,483,987,4,0,1,264,0,0,85400
50,5586,6,7,101,0,0,901,901,1088,1198,7,0,0,0,0,98,79900
160,1920,5,5,50,376,471,294,765,765,1365,6,0,2,440,240,36,122500
60,10839,6,5,24,0,0,926,926,926,1604,7,1,2,470,0,36,181000
180,1890,4,7,49,0,495,135,630,630,630,3,0,0,0,88,0,81000
60,10667,7,6,25,0,385,70,799,827,1661,6,1,2,550,158,61,212000
50,4400,6,8,101,0,0,648,648,734,1118,6,0,2,440,0,0,116000
45,6000,6,7,95,0,0,884,884,904,904,4,0,1,180,0,0,119000
30,4280,5,6,108,0,365,75,440,694,694,4,1,1,352,0,0,90350
50,12354,6,8,101,0,0,684,684,684,1196,7,0,2,528,0,46,110000
20,15431,10,5,13,200,1767,788,3094,2402,2402,10,2,3,672,0,72,555000
90,12108,4,4,66,270,133,1307,1440,1440,1440,8,0,0,0,0,0,118000
50,6240,5,7,91,0,0,1078,1078,1128,1573,8,1,2,360,0,0,162900
120,3922,7,5,15,72,0,1258,1258,1258,1258,6,1,3,648,144,16,172500
60,8750,7,5,27,0,642,273,915,933,1908,8,1,2,493,144,133,210000
20,9855,6,5,65,0,0,1436,1436,1689,1689,7,1,2,480,0,0,127500
20,16492,6,6,55,0,247,557,1517,1888,1888,6,1,2,578,0,0,190000
60,11214,7,5,23,0,0,930,930,956,1886,10,1,2,431,89,0,199900
50,8600,6,6,84,0,0,780,780,780,1376,7,1,1,198,0,0,119500
50,6000,3,7,73,0,331,318,649,679,1183,6,0,1,308,0,176,120000
30,5684,6,8,91,0,0,813,813,813,813,5,0,1,270,0,113,110000
20,70761,7,5,46,0,655,878,1533,1533,1533,5,2,2,576,200,54,280000
60,9303,6,5,25,42,742,130,872,888,1756,7,0,2,422,144,122,204000
60,9000,8,5,13,0,0,768,768,786,1590,6,0,2,676,0,30,210000
90,9297,5,5,45,0,1606,122,1728,1728,1728,8,0,2,560,0,0,188000
20,9600,7,6,48,320,916,326,1242,1242,1242,6,1,2,528,0,0,175500
70,4571,5,5,105,0,0,624,624,624,1344,7,0,3,513,0,0,98000
20,53227,4,6,67,0,1116,248,1364,1663,1663,6,2,2,529,224,137,256000
70,5100,8,7,96,0,0,588,588,833,1666,7,1,1,228,192,63,161000
50,7015,5,4,71,161,185,524,709,979,1203,5,1,1,352,0,0,110000
60,8004,8,5,12,110,544,288,832,832,1935,8,0,2,552,0,150,263435
70,7200,7,9,85,0,350,0,560,575,1135,6,0,2,576,256,0,155000
20,8281,5,5,56,0,553,0,864,864,864,5,1,1,360,0,0,62383
70,11988,6,7,87,0,326,389,715,849,1660,6,1,1,240,0,0,188700
20,8430,5,5,43,136,616,424,1040,1040,1040,5,0,0,0,0,0,124000
120,3072,7,5,17,18,0,1375,1375,1414,1414,6,1,2,398,144,20,178740
20,10628,7,5,51,0,778,499,1277,1277,1277,5,1,2,526,0,0,167000
70,9480,5,7,79,224,386,342,728,888,1644,7,2,1,312,168,0,146500
20,11428,8,5,15,248,0,1626,1626,1634,1634,7,1,3,866,0,44,250000
60,9291,6,5,28,120,426,406,832,832,1710,7,0,2,506,144,70,187000
120,6820,8,5,36,0,368,0,1488,1502,1502,4,0,2,528,0,54,212000
60,11952,7,6,44,0,0,808,808,1161,1969,8,1,2,534,0,0,190000
180,3675,6,5,16,80,459,88,547,1072,1072,5,0,2,525,0,28,148000
20,14977,8,5,15,304,1350,626,1976,1976,1976,7,1,3,908,250,63,440000
120,5330,8,5,21,0,1196,298,1494,1652,1652,6,0,2,499,96,48,251000
20,8480,5,6,58,0,630,340,970,970,970,5,0,2,624,0,24,132500
20,13125,6,5,24,215,994,484,1478,1493,1493,7,1,2,508,140,39,208900
60,13693,9,5,15,772,0,2153,2153,2069,2643,9,1,3,694,414,84,380000
20,10637,8,5,14,336,1288,417,1705,1718,1718,7,1,3,826,208,44,297000
30,5925,4,7,84,435,168,739,907,1131,1131,7,0,2,672,0,72,89471
20,16033,9,5,17,378,1261,572,1833,1850,1850,8,1,3,772,519,112,326000
20,11846,9,5,18,562,1567,225,1792,1792,1792,6,1,3,874,206,49,374000
70,2500,7,8,106,0,299,611,910,916,1826,7,1,1,164,0,0,155000
120,4500,6,5,23,116,897,319,1216,1216,1216,5,0,2,402,0,125,164000
20,7758,5,7,59,0,588,411,999,999,999,6,0,1,264,0,132,132500
20,9600,5,7,71,0,607,506,1113,1113,1113,5,1,1,264,0,80,147000
20,10289,5,7,56,168,836,237,1073,1073,1073,6,0,2,515,0,0,156000
20,12243,5,6,50,0,998,486,1484,1484,1484,7,1,2,487,224,0,175000
190,10800,5,4,121,0,664,290,954,1766,2414,10,1,2,520,142,0,160000
180,1526,4,8,51,0,515,115,630,630,630,3,0,1,286,0,0,86000
160,2665,5,6,45,0,0,264,264,616,1304,4,1,1,336,141,24,115000
50,9490,6,7,80,0,403,238,806,958,1578,5,2,1,240,0,0,133000
60,15578,6,5,15,0,0,728,728,728,1456,8,0,2,429,0,0,172785
20,7931,5,6,61,0,374,363,1269,1269,1269,6,1,1,308,0,0,155000
30,5784,5,8,83,0,0,190,190,886,886,4,0,1,273,144,20,91300
30,7879,4,5,101,0,495,225,720,720,720,4,0,0,0,0,523,34900
20,12692,8,5,29,0,1231,1969,3200,3228,3228,10,1,2,546,264,75,430000
50,9120,7,6,96,0,329,697,1026,1133,1820,8,0,1,240,0,100,184000
20,7800,5,7,54,89,450,414,864,899,899,5,0,1,288,64,0,130000
20,7535,5,7,63,0,111,522,912,912,912,5,0,1,297,12,285,120000
160,1890,6,5,48,285,356,316,672,672,1218,7,0,1,264,144,28,113000
60,9803,7,5,16,0,400,466,866,866,1768,7,0,2,603,0,108,226700
20,9170,5,7,56,0,698,420,1214,1214,1214,6,0,2,461,0,0,140000
20,15602,7,8,62,0,1247,254,1501,1801,1801,6,2,2,484,0,54,289000
160,2308,6,5,47,0,257,103,855,855,1322,6,1,2,440,260,0,147000
90,7596,5,5,69,360,0,960,960,960,1960,10,0,2,400,0,0,124500
60,9554,8,5,28,125,380,397,777,1065,1911,8,1,2,471,182,81,215000
20,7862,6,5,12,0,27,1191,1218,1218,1218,4,0,2,676,0,102,208300
70,9600,7,9,93,0,141,548,689,689,1378,7,1,2,360,0,0,161000
20,9600,5,6,62,132,991,50,1041,1041,1041,6,0,1,270,224,88,124500
20,14559,5,7,70,70,650,178,1008,1363,1363,6,2,1,288,324,42,164900
120,6792,7,5,16,94,0,1368,1368,1368,1368,6,1,2,474,132,35,202665
20,9100,5,5,63,0,521,169,864,864,864,5,0,2,624,0,0,129900
20,9187,6,5,38,0,336,748,1084,1080,1080,5,0,2,484,120,0,134000
45,10594,5,5,95,0,0,768,768,789,789,5,0,1,200,0,0,96500
20,12220,10,5,12,305,1436,570,2006,2020,2020,9,1,3,900,156,54,402861
80,10448,6,6,49,333,0,689,689,1378,2119,7,1,2,583,0,104,158000
60,10208,7,5,25,921,0,1264,1264,1277,2344,7,1,3,889,220,0,265000
60,9531,6,5,23,0,706,88,794,882,1796,7,0,2,546,0,36,211000
70,10918,7,9,95,0,0,1276,1276,1276,2080,9,2,1,282,0,0,234000
190,10800,4,7,121,0,0,0,0,694,1294,7,0,0,0,220,114,106250
20,11988,6,6,64,0,777,467,1244,1244,1244,6,2,1,336,0,40,150000
50,5000,6,7,74,0,399,605,1004,1004,1664,7,2,2,420,0,24,159000
60,40094,10,5,14,762,2260,878,3138,3138,4676,11,1,3,884,208,406,184750
60,11787,7,5,25,594,719,660,1379,1383,2398,8,1,3,834,239,60,315750
20,7500,7,5,16,0,0,1257,1257,1266,1266,6,1,2,453,38,144,176000
20,13300,5,7,65,0,377,551,928,928,928,4,0,1,252,261,0,132000
60,14948,9,5,13,268,1330,122,1452,1476,2713,11,1,3,858,126,66,446261
30,9098,4,7,101,0,348,180,528,605,605,5,0,0,0,0,0,86000
20,32668,6,3,64,NA,1219,816,2035,2515,2515,9,2,2,484,0,0,200624
80,10200,6,5,33,219,783,678,1461,1509,1509,5,1,2,600,224,0,175000
70,6155,6,8,101,0,0,611,611,751,1362,6,0,2,502,0,0,128000
20,7200,5,7,66,0,0,0,0,827,827,5,1,1,392,0,0,107500
20,5000,1,3,75,0,0,0,0,334,334,2,0,0,0,0,0,39300
60,9056,8,5,17,0,0,707,707,707,1414,6,1,2,403,100,35,178000
190,7000,5,7,111,0,969,148,1117,820,1347,5,0,0,0,85,0,107500
60,8924,7,5,23,0,0,880,880,880,1724,8,0,2,527,120,155,188000
20,12735,4,5,49,0,600,264,864,864,864,5,0,2,576,216,0,111250
20,11553,5,5,53,188,673,378,1051,1159,1159,7,1,1,336,466,0,158000
20,11423,8,5,20,479,1358,223,1581,1601,1601,6,1,2,670,180,0,272000
20,14601,9,5,15,584,1260,578,1838,1838,1838,8,1,3,765,270,68,315000
60,11000,8,5,21,72,0,969,969,997,2285,8,1,3,648,0,56,248000
20,10140,7,5,23,0,144,379,1650,1680,1680,7,1,2,583,78,73,213250
120,4058,7,5,23,182,584,0,723,767,767,4,0,1,367,120,40,133000
60,17104,7,5,15,0,554,100,654,664,1496,7,1,2,426,100,24,179665
50,13837,7,5,33,178,1002,0,1204,1377,2183,9,0,3,786,0,0,229000
50,8737,6,7,98,0,300,765,1065,915,1635,6,1,2,440,0,38,210000
85,7244,5,7,51,0,619,149,768,768,768,5,0,2,624,104,0,129500
20,8235,5,7,66,0,180,0,825,825,825,4,0,2,720,140,50,125000
60,9375,7,5,18,0,0,912,912,912,2094,8,1,2,615,182,182,263000
120,4043,6,6,44,0,559,510,1069,1069,1069,4,0,2,440,0,55,140000
20,6000,5,6,64,0,308,620,928,928,928,5,0,1,288,0,0,112500
20,11146,8,5,15,250,0,1709,1709,1717,1717,7,1,3,908,169,39,255500
20,8777,4,5,72,0,0,0,0,1126,1126,5,0,2,520,0,96,108000
60,10625,7,5,18,292,866,132,998,1006,2046,8,1,3,871,320,62,284000
45,6380,5,6,99,0,0,993,993,1048,1048,5,1,1,280,0,0,113000
20,14850,5,5,64,0,895,197,1092,1092,1092,6,1,1,299,268,0,141000
50,11040,4,6,101,0,637,0,637,897,1336,7,0,1,570,0,47,108000
60,21872,7,5,25,0,604,125,729,729,1446,6,1,2,406,264,22,175000
120,3196,7,5,18,18,0,1374,1374,1557,1557,7,1,2,420,143,20,234000
20,11341,5,6,64,180,1302,90,1392,1392,1392,5,1,2,528,0,0,121500
20,10010,5,5,47,0,1071,195,1389,1389,1389,6,1,2,418,240,38,170000
30,13907,5,6,81,0,290,706,996,996,996,6,1,0,0,144,0,108000
50,21780,6,7,103,0,0,1163,1163,1163,1674,8,1,2,396,72,36,185000
60,13346,7,5,29,0,728,367,1095,1166,2295,9,1,2,590,0,40,268000
70,6858,6,4,106,0,0,806,806,841,1647,6,0,1,216,0,66,128000
60,11198,9,5,16,245,0,1122,1122,1134,2504,11,1,3,656,144,39,325000
20,10171,7,5,17,168,2,1515,1517,1535,1535,7,0,2,532,0,0,214000
50,12327,8,8,38,0,1441,55,1496,1496,2132,5,1,2,612,349,40,316600
90,7032,5,5,42,0,943,0,943,943,943,4,2,2,600,42,0,135960
90,13101,5,5,56,108,231,1497,1728,1728,1728,10,0,2,576,0,0,142600
20,7332,6,6,62,207,414,450,864,864,864,4,0,1,288,168,0,120000
60,13159,7,5,12,0,0,846,846,846,1692,6,0,2,650,208,114,224500
80,9967,7,5,21,0,0,384,384,774,1430,8,1,2,400,100,0,170000
80,10500,5,7,50,82,349,23,372,576,1109,5,0,1,288,35,0,139000
50,8480,5,5,74,0,442,390,832,832,1216,6,0,1,336,158,0,118500
50,6292,7,7,93,0,0,861,861,877,1477,6,1,1,216,0,50,145000
80,11777,5,6,55,97,328,285,1164,1320,1320,6,2,2,564,160,68,164500
160,3604,7,5,14,0,0,689,689,703,1392,5,0,2,540,0,102,146000
50,12150,5,5,67,335,0,1050,1050,1050,1795,7,0,1,352,0,0,131500
